Sex;Side;No;D;No_sub;Age;Length_cl;Shoulder_w;Proportion;Inner_C;Outer_C;Total_C;Inner_S;Middle_S;Outer_S;Inner_End_W;Inner_A_W;Least_W_W;Distance1_W;Conoid_W;Distance2_W;Outer_End_W;Inner_End_D;Middle_D;Conoid_D;Outer_D;Circumference;Index_End
male;dx;24;1;85;29;160;414;386;156;152;308;47;80;36;23;11;10;53;19;119;25;26;12;11;9;38;49
male;dx;25;1;86;51;155;419;370;157;141;298;48;76;35;22;11;10;37;19;124;25;24;13;13;11;38;46
male;dx;26;0;88;34;140;377;371;150;139;289;40;81;23;19;15;12;62;17;116;18;20;9;10;10;33;39
male;dx;27;0;89;36;132;370;357;161;148;309;48;52;34;20;9;9;49;16;100;20;23;12;14;11;35;43
male;dy;28;1;90;old;140;410;341;145;143;288;48;59;40;25;12;11;69;21;102;23;20;12;13;11;41;45
male;dx;29;1;91;72;153;392;390;154;145;299;51;61;43;28;12;11;38;23;110;20;25;15;18;11;36;53
male;dx;30;1;92;68;143;407;351;139;147;286;54;59;35;24;12;11;72;18;117;23;23;14;17;11;38;47
male;dx;31;1;94;59;160;419;382;159;145;304;42;73;48;27;13;12;65;23;114;25;30;14;15;16;45;75
male;dx;32;1;95;59;135;373;362;149;133;282;41;65;37;26;13;11;70;17;107;25;25;13;17;18;38;51
male;dx;33;1;97;59;167;429;389;159;156;315;57;69;42;30;12;12;68;18;121;27;25;13;13;11;43;55
male;dx;34;1;99;39;149;409;364;161;146;307;56;61;31;25;12;11;50;18;112;22;27;12;16;9;36;52
male;dx;35;1;100;56;140;363;386;151;153;304;42;57;37;27;12;10;65;20;105;26;26;14;13;11;39;53
male;dx;36;1;101;20;144;394;365;156;149;305;5;62;33;24;11;11;50;20;105;20;23;12;9;10;38;47
male;dx;37;1;102;19;160;415;386;157;150;307;53;74;49;28;12;11;44;20;119;22;26;11;12;11;43;54
male;dx;38;1;103;48;149;403;370;153;161;314;61;67;35;24;13;12;73;24;123;26;27;18;13;10;50;51
male;dx;39;1;114;68;156;413;378;158;128;286;48;76;31;32;12;10;80;17;115;23;33;11;15;11;38;65
male;dx;40;1;115;51;145;367;395;152;148;300;40;71;36;24;13;12;58;23;106;25;22;12;13;10;37;46
male;dy;41;1;117;43;168;436;385;152;144;296;57;80;36;23;14;14;63;18;132;16;26;11;11;13;40;49
male;dx;42;1;118;71;154;383;402;160;158;318;46;68;42;27;12;11;55;22;115;27;31;13;13;11;42;58
male;dx;43;1;119;65;161;450;358;164;148;312;32;9;42;27;15;11;51;20;122;25;30;12;13;12;42;57
male;dx;44;1;120;27;146;401;364;148;145;293;46;70;33;20;11;10;64;18;110;23;24;12;8;8;37;44
male;dx;45;1;121;60;142;368;357;143;136;279;38;81;31;20;13;10;73;16;109;22;25;11;12;10;39;51
male;dx;46;1;122;55;145;409;355;156;141;297;40;70;39;26;12;11;75;16;106;19;23;10;12;11;36;49
male;dx;47;1;125;57;143;396;361;158;157;31;47;59;40;28;11;11;51;21;103;23;25;15;11;10;43;53
male;dx;48;1;127;28;160;378;423;158;145;303;45;85;33;22;11;10;52;26;118;27;26;13;11;8;38;48
male;dx;49;1;129;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;50;1;130;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;51;1;131;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;52;1;132;54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;53;1;133;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;54;1;134;49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dy;55;1;135;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;56;1;152;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;57;1;155;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;58;1;160;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;59;1;161;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;60;1;163;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;61;1;164;64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;62;1;165;66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;63;1;166;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;64;1;167;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;65;1;168;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;66;1;169;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;67;1;170;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;68;1;171;64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;69;1;172;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;dx;70;1;173;43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
